"Time [min]"	"Agitated rep 1"	"Agitated rep 2"	"Agitated rep 3"	"Agitated rep 4"	"Idle rep 1"	"Idle rep 2"	"Idle rep 3"	"Idle rep 4"
1024	-0.00087039	0.005464129	0.001480901	0.004809174				
1026.66667	-0.00087039	0.005464129	0.002700466	0.005909671				
1029.33333	-0.00044233	0.006567993	0.001829348	0.007010169				
1032	0.000271105	0.005648106	0.002526242	0.006184796				
1034.66667	0.000413792	0.005464129	0.002003572	0.006735044				
1037.33333	-0.000156956	0.006200039	0.002352019	0.00645992				
1040	-0.0000143	0.005648106	0.002352019	0.004809174				
1042.66667	0.000128418	0.006567993	0.002352019	0.006735044				
1045.33333	0.000271105	0.006935948	0.002526242	0.005084298				
1048	0.000699166	0.006016061	0.001480901	0.007010169				
1050.66667	0.000128418	0.006384016	0.002177795	0.00645992				
1053.33333	-0.000156956	0.006200039	0.003223137	0.006735044				
1056	-0.000156956	0.006567993	0.002526242	0.008110666				
1058.66667	-0.000727703	0.006935948	0.00287469	0.007560417				
1061.33333	-0.0000143	0.006384016	0.003223137	0.00645992				
1064	0.000413792	0.006384016	0.00287469	0.007285293				
1066.66667	0.000556479	0.007119926	0.002700466	0.007835542				
1069.33333	0.000413792	0.006935948	0.00287469	0.007835542				
1072	0.000413792	0.007303903	0.003048913	0.007010169				
1074.66667	0.000413792	0.007119926	0.003048913	0.00838579				
1077.33333	0.000556479	0.007855835	0.002700466	0.00838579				
1080	0.000556479	0.006935948	0.003397361	0.009486288				
1082.66667	0.000699166	0.008039813	0.003397361	0.007835542				
1085.33333	0.000271105	0.008039813	0.003048913	0.008936039				
1088	0.000699166	0.007855835	0.003571584	0.00838579				
1090.66667	0.000413792	0.008039813	0.003223137	0.010586785				
1093.33333	0.000556479	0.008039813	0.003920031	0.010586785				
1096	0.000699166	0.008775722	0.003397361	0.010311661				
1098.66667	0.000699166	0.007855835	0.004268479	0.010036537				
1101.33333	0.001127227	0.00822379	0.003397361	0.009211163				
1104	0.000841853	0.0089597	0.004442702	0.010036537				
1106.66667	0.000841853	0.009511632	0.003571584	0.010586785				
